
min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-01-01T00:00:00 2023-01-05T08:56:24      8.491    198.171    548.718 
2023-01-07T19:14:24 2023-01-13T09:19:48     20.839    281.966    579.253 
2023-01-14T02:49:12 2023-01-19T11:04:48      8.239     133.64    493.796 
2023-01-21T03:53:24 2023-01-27T23:07:48      24.39    358.519    765.713 
2023-01-30T03:36:00 2023-01-31T14:34:48     24.118     211.53    388.119 
2023-02-02T13:13:12 2023-02-06T16:19:48     14.975    394.394    835.467 
2023-02-07T09:49:12 2023-02-13T05:44:24      4.415    316.506    777.214 
2023-02-14T10:53:24 2023-02-20T00:58:48      44.76    314.203    517.798 
2023-02-21T17:47:24 2023-02-26T08:33:36     29.693    223.449    429.122 
2023-02-28T01:22:12 2023-02-28T01:22:12    119.137    119.137    119.137 
2023-03-01T12:21:00 2023-03-06T14:46:48      54.61     299.87    586.775 
2023-03-08T01:45:36 2023-03-13T15:51:00      5.934     204.03    431.448 
2023-03-14T03:30:36 2023-03-20T16:55:12      3.239    176.361    333.405 
2023-03-21T04:34:48 2023-03-27T17:59:24      6.567     249.52    713.174 
2023-03-28T17:18:36 2023-03-31T15:16:12     26.141    176.068    494.845 
2023-04-01T14:35:24 2023-04-06T17:01:12     49.017    306.763    843.514 
2023-04-07T22:10:12 2023-04-13T12:15:36     76.287    258.652    783.451 
2023-04-14T23:14:24 2023-04-19T14:00:36     84.876    235.405    529.541 
2023-04-23T05:27:36 2023-04-27T20:13:48     56.583    260.455    457.995 
2023-04-28T02:03:36 2023-04-30T18:11:24      2.008    181.679    488.704 
2023-05-02T05:10:12 2023-05-06T14:06:36     20.446    145.204    527.844 
2023-05-07T01:46:12 2023-05-13T21:00:36       0.45    220.492    803.601 
2023-05-15T07:59:24 2023-05-19T11:06:00     18.496    174.021    544.356 
2023-05-21T09:44:24 2023-05-27T11:29:24      29.63    234.718     689.33 
2023-05-28T04:58:48 2023-05-31T08:46:12     59.656     301.87    798.148 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-06-01T08:05:24 2023-06-06T22:10:48     38.516    338.137     794.66 
2023-06-07T15:40:12 2023-06-12T23:55:48     38.005    236.373    711.993 
2023-06-15T21:53:24 2023-06-20T18:29:24      36.26    257.824    455.954 
2023-06-21T06:09:00 2023-06-26T14:24:36      7.837    191.262    719.741 
2023-06-28T01:23:24 2023-06-30T17:31:12      0.728    302.918    850.025 
2023-07-01T11:00:36 2023-07-05T14:07:12     45.461    292.383    599.024 
2023-07-07T01:06:00 2023-07-13T14:30:36     27.424    303.455    714.451 
2023-07-14T02:10:12 2023-07-20T09:45:00      8.303    256.205    721.935 
2023-07-21T09:04:12 2023-07-27T10:49:12     14.524    243.927    530.616 
2023-07-28T10:08:24 2023-07-31T02:16:12      0.902    247.494    639.105 
2023-08-01T01:35:24 2023-08-06T09:51:00     39.754    144.672    277.238 
2023-08-07T03:20:24 2023-08-12T17:25:48     36.635    182.591    397.619 
2023-08-14T10:14:24 2023-08-20T23:39:00      21.98     354.06    792.987 
2023-08-21T22:58:12 2023-08-27T18:53:24       4.95    293.191    688.219 
2023-08-30T22:40:48 2023-08-31T16:10:12     99.871    153.785      207.7 
2023-09-02T03:09:00 2023-09-06T23:45:00     14.138    233.976    626.657 
2023-09-07T05:34:48 2023-09-13T13:09:36     16.677    134.167    312.652 
2023-09-14T12:28:48 2023-09-20T08:24:00     12.912    197.548    502.902 
2023-09-21T07:43:12 2023-09-26T15:58:48      0.359    234.193    620.443 
2023-09-28T08:47:24 2023-09-30T19:05:24      9.843    150.857    433.312 
2023-10-01T00:55:12 2023-10-06T09:10:48     21.756    164.483    411.398 
2023-10-07T20:09:36 2023-10-13T16:04:48      1.608    203.396    425.756 
2023-10-14T09:34:12 2023-10-20T05:29:24      3.758    253.713    463.943 
2023-10-21T16:28:12 2023-10-27T18:13:12    101.934    459.093    945.135 
2023-10-28T17:32:24 2023-10-31T21:19:48     22.917    334.073    777.478 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-11-01T08:59:24 2023-11-04T18:36:36      1.926    344.718    834.156 
2023-11-07T16:34:12 2023-11-13T18:19:12      6.579    108.087    377.432 
2023-11-14T00:09:00 2023-11-20T01:54:00     28.771    206.471    745.444 
2023-11-21T01:13:12 2023-11-27T02:58:12     23.307    187.991    395.134 
2023-11-28T02:17:24 2023-11-30T18:25:12     10.537    195.481    619.998 
2023-12-01T06:04:48 2023-12-06T08:30:36      6.577    223.561    499.703 
2023-12-07T07:49:48 2023-12-12T16:05:24     18.475    287.743    897.676 
2023-12-15T02:23:24 2023-12-20T22:18:36     10.091    249.014    612.263 
2023-12-21T04:08:24 2023-12-26T06:34:12     44.061    127.437    283.049 
2023-12-28T05:12:36 2023-12-31T03:10:12      27.11    296.176    974.959 
2024-01-01T08:19:12 2024-01-06T22:24:36     80.593    307.066    743.686 
2024-01-07T10:04:12 2024-01-13T11:49:12      1.203     232.08    650.161 
2024-01-15T10:27:36 2024-01-20T18:43:12     90.036     265.93    677.702 
2024-01-21T12:12:36 2024-01-27T13:57:36      0.529    224.416     778.24 
2024-01-28T01:37:12 2024-01-31T11:14:24     30.796    289.913    631.761 
2024-02-02T09:52:48 2024-02-06T12:59:24      5.574    207.945    550.364 
2024-02-07T00:39:00 2024-02-13T19:53:24     43.301    240.491    589.939 
2024-02-15T01:02:24 2024-02-20T20:57:36     44.527    365.004    763.876 
2024-02-21T02:47:24 2024-02-27T10:22:12    266.052    429.154    703.341 
2024-02-28T15:31:12 2024-02-29T09:00:36      4.994    135.421    265.847 
2024-03-01T14:09:36 2024-03-05T11:26:24     80.984    311.883    605.413 
2024-03-08T03:34:12 2024-03-13T06:00:00      3.975    212.022    700.808 
2024-03-16T03:57:36 2024-03-20T12:54:00     23.758    255.065    787.712 
2024-03-21T00:33:36 2024-03-27T13:58:12     27.343    318.396    698.019 
2024-03-28T19:07:12 2024-03-31T22:54:36     30.171    240.048    692.197 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2024-04-01T22:13:48 2024-04-06T18:49:48     62.714    378.028    760.389 
2024-04-09T22:37:12 2024-04-13T19:54:00      4.603    249.199    806.982 
2024-04-15T01:03:00 2024-04-20T20:58:12      6.559    342.116    701.739 
2024-04-21T08:37:48 2024-04-25T23:24:00      7.716    111.426    414.808 
2024-04-28T03:52:12 2024-04-29T20:40:48     88.695    240.578    463.084 
2024-05-01T01:49:48 2024-05-06T21:45:00      0.053    346.901    812.484 
2024-05-07T09:24:36 2024-05-13T16:59:24     54.043    296.868     843.25 
2024-05-14T16:18:36 2024-05-20T23:53:24     14.701    177.998    540.667 
2024-05-21T05:43:12 2024-05-26T13:58:48      8.061    339.596    764.224 
2024-05-29T06:06:36 2024-05-31T04:45:00    102.841     234.06    556.673 
2024-06-03T02:42:36 2024-06-06T23:59:24      3.369      318.4    810.611 
2024-06-07T11:39:00 2024-06-13T01:44:24      2.086    230.547     685.19 
2024-06-15T12:02:24 2024-06-19T20:58:48     20.902    235.726    567.242 
2024-06-22T01:27:00 2024-06-27T21:22:12      8.648    152.263    276.711 
2024-06-28T09:01:48 2024-06-29T08:21:00     22.152    153.132    369.832 
2024-07-01T06:59:24 2024-07-05T04:16:12     52.688    197.773    493.175 
2024-07-07T02:54:36 2024-07-13T22:09:00       5.49    367.153    774.285 
2024-07-17T13:36:00 2024-07-19T23:54:00    119.788    370.216    810.727 
2024-07-22T04:22:12 2024-07-27T18:27:36     14.141    267.629    794.597 
2024-07-28T11:57:00 2024-07-31T21:34:12       5.54    170.491    664.563 
2024-08-02T20:12:36 2024-08-06T00:00:00      0.078    131.187    494.979 
2024-08-07T16:48:36 2024-08-13T12:43:48     34.968     295.74    790.188 
2024-08-14T12:03:00 2024-08-20T07:58:12      2.456     142.46    550.318 
2024-08-21T18:57:00 2024-08-27T20:42:00      4.967    333.298    782.189 
2024-08-28T20:01:12 2024-08-30T07:00:00     43.274    313.537    730.584 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2024-09-02T04:57:36 2024-09-06T13:54:00     29.926    327.505     646.45 
2024-09-09T23:31:12 2024-09-13T14:58:12     14.309    342.777    740.737 
2024-09-15T01:57:00 2024-09-20T21:52:12     11.075    204.877    401.349 
2024-09-24T07:29:24 2024-09-27T17:06:36      8.684     182.86     276.49 
2024-09-28T10:36:00 2024-09-30T20:54:00      0.353    195.163    466.116 
2024-10-02T13:42:36 2024-10-06T22:39:00       3.03    182.248    480.865 
2024-10-07T16:08:24 2024-10-13T17:53:24     51.009    221.343    467.744 
2024-10-14T11:22:48 2024-10-19T07:58:48     96.146    283.273    489.883 
2024-10-21T06:37:12 2024-10-26T09:03:00      0.558    126.098    459.087 
2024-10-28T07:41:24 2024-10-31T11:28:48     75.598    374.725    765.376 
2024-11-01T04:58:12 2024-11-06T19:03:36     27.707    252.713     473.51 
2024-11-08T11:52:12 2024-11-13T20:07:48     11.608    312.082    750.503 
2024-11-14T19:27:00 2024-11-19T16:03:00      4.913    296.201     938.54 
2024-11-21T08:51:36 2024-11-27T22:16:12     25.365    196.763     562.84 
2024-11-29T03:25:12 2024-11-30T14:24:00     14.808    244.343    433.645 
2024-12-01T07:53:24 2024-12-05T05:10:12     68.238    375.392    623.745 
2024-12-07T09:38:24 2024-12-12T23:43:48      5.442    243.969    616.044 
2024-12-14T04:52:48 2024-12-20T00:48:00      36.58    336.383    720.985 
2024-12-21T05:57:00 2024-12-27T01:52:12     33.674    173.424    634.233 
2024-12-28T07:01:12 2024-12-29T18:00:00    139.835    503.258    856.651 
2025-01-01T10:07:48 2025-01-06T18:23:24     15.225     98.159    360.605 
2025-01-07T06:03:00 2025-01-13T19:27:36      17.71    147.116    582.131 
2025-01-14T01:17:24 2025-01-20T08:52:12     27.146    253.985    678.741 
2025-01-24T06:09:00 2025-01-27T15:46:12      6.414     82.502    267.948 
2025-01-28T09:15:36 2025-01-30T02:04:12      8.878    328.432    709.662 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2025-02-01T06:32:24 2025-02-05T15:28:48     40.675    250.522    661.339 
2025-02-08T07:36:36 2025-02-13T04:12:36      1.666    274.939    781.182 
2025-02-14T03:31:48 2025-02-20T11:06:36     13.678    172.065    659.372 
2025-02-22T09:45:00 2025-02-27T06:21:00    107.397    222.996    328.821 
2025-03-01T16:39:00 2025-03-05T19:45:36      5.535    288.472    810.723 
2025-03-07T18:24:00 2025-03-13T20:09:00     22.176    280.838    752.174 
2025-03-14T07:48:36 2025-03-20T15:23:24      4.968     173.63    544.011 
2025-03-21T20:32:24 2025-03-27T22:17:24     22.627    143.325    287.602 
2025-03-28T15:46:48 2025-03-30T08:35:24     23.999    285.746    701.693 
2025-04-01T07:13:48 2025-04-06T03:49:48      3.762    166.235     529.12 
2025-04-08T14:07:48 2025-04-13T10:43:48     96.084    385.353    866.238 
