
min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-01-01T00:00:00 2023-01-27T23:07:48      8.239    242.338    765.713 
2023-01-30T03:36:00 2023-01-31T14:34:48     24.118     211.53    388.119 
2023-02-02T13:13:12 2023-02-28T01:22:12      4.415    306.343    835.467 
2023-03-01T12:21:00 2023-03-29T22:27:36      3.239    225.103    713.174 
2023-03-31T15:16:12 2023-03-31T15:16:12    189.196    189.196    189.196 
2023-04-01T14:35:24 2023-04-29T07:12:36     49.017    271.395    843.514 
2023-04-30T18:11:24 2023-04-30T18:11:24      2.008     36.361     70.715 
2023-05-02T05:10:12 2023-05-29T10:07:48       0.45    214.097    803.601 
2023-05-30T09:27:00 2023-05-31T08:46:12     87.551    217.586    347.621 
2023-06-01T08:05:24 2023-06-29T00:42:36      0.728    261.142    850.025 
2023-06-30T17:31:12 2023-06-30T17:31:12    133.936    133.936    133.936 
2023-07-01T11:00:36 2023-07-29T03:37:48      0.902    268.339    721.935 
2023-07-31T02:16:12 2023-07-31T02:16:12    550.304    550.304    550.304 
2023-08-01T01:35:24 2023-08-27T18:53:24       4.95    258.172    792.987 
2023-08-30T22:40:48 2023-08-31T16:10:12     99.871    153.785      207.7 
2023-09-02T03:09:00 2023-09-29T08:06:36      0.359    189.612    626.657 
2023-09-30T19:05:24 2023-09-30T19:05:24    433.312    433.312    433.312 
2023-10-01T00:55:12 2023-10-29T05:12:00      1.608    291.619    945.135 
2023-10-30T04:31:12 2023-10-31T21:19:48     22.917    232.647    581.799 
2023-11-01T08:59:24 2023-11-29T13:16:12      1.926     209.25    834.156 
2023-11-30T12:35:24 2023-11-30T18:25:12     88.974      92.69     96.406 
2023-12-01T06:04:48 2023-12-29T10:21:36      6.577    243.385    974.959 
2023-12-30T21:20:24 2023-12-31T03:10:12     86.043    215.396    342.472 
2024-01-01T08:19:12 2024-01-29T06:46:12      0.529    250.855     778.24 
2024-01-31T05:24:36 2024-01-31T11:14:24    254.758    304.933    355.107 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2024-02-02T09:52:48 2024-02-29T09:00:36      4.994    300.631    763.876 
2024-03-01T14:09:36 2024-03-29T12:36:36      3.975    282.717    787.712 
2024-03-30T11:55:48 2024-03-31T22:54:36     30.171    157.999    312.143 
2024-04-01T22:13:48 2024-04-29T20:40:48      4.603    250.001    806.982 
2024-05-01T01:49:48 2024-05-29T17:46:12      0.053    283.553     843.25 
2024-05-30T17:05:24 2024-05-31T04:45:00    102.841    329.757    556.673 
2024-06-03T02:42:36 2024-06-29T08:21:00      2.086     222.39    810.611 
2024-07-01T06:59:24 2024-07-29T17:06:00       5.49    295.061    810.727 
2024-07-30T16:25:12 2024-07-31T21:34:12       5.54    185.303    664.563 
2024-08-02T20:12:36 2024-08-28T20:01:12      0.078    234.766    790.188 
2024-08-30T07:00:00 2024-08-30T07:00:00     43.274    386.929    730.584 
2024-09-02T04:57:36 2024-09-29T15:45:00      0.353    249.646    740.737 
2024-09-30T09:14:24 2024-09-30T20:54:00    124.103    295.109    466.116 
2024-10-02T13:42:36 2024-10-29T12:50:24      0.558    226.614    765.376 
2024-10-30T00:30:00 2024-10-31T11:28:48    239.308    260.617    281.926 
2024-11-01T04:58:12 2024-11-29T09:15:00      4.913    269.106     938.54 
2024-11-30T14:24:00 2024-11-30T14:24:00    284.576    284.576    284.576 
2024-12-01T07:53:24 2024-12-29T18:00:00      5.442    299.969    856.651 
2025-01-01T10:07:48 2025-01-28T20:55:12      6.414    168.534    678.741 
2025-01-30T02:04:12 2025-01-30T02:04:12    709.662    709.662    709.662 
2025-02-01T06:32:24 2025-02-27T06:21:00      1.666    232.022    781.182 
2025-03-01T16:39:00 2025-03-29T15:06:00      4.968    237.299    810.723 
2025-03-30T08:35:24 2025-03-30T08:35:24    131.546    131.546    131.546 
2025-04-01T07:13:48 2025-04-29T23:10:12      3.762    269.775    866.238 
2025-04-30T05:00:00 2025-04-30T05:00:00     18.441     18.441     18.441 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2025-05-01T04:19:12 2025-05-27T21:37:12      2.453     181.05    747.914 
2025-05-30T19:34:48 2025-05-31T18:54:00     21.965    274.815    681.355 
2025-06-02T05:52:48 2025-06-29T16:40:12     10.077    252.261     722.68 
2025-06-30T04:19:48 2025-06-30T21:49:12     13.702     77.537    141.371 
2025-07-01T21:08:24 2025-07-29T19:35:24      2.154    247.714    758.567 
2025-07-30T18:54:36 2025-07-30T18:54:36      34.75      34.75      34.75 
2025-08-01T23:22:48 2025-08-29T10:10:12     14.013    271.211    653.376 
2025-08-30T21:09:00 2025-08-31T20:28:12     36.864    175.742    292.381 
2025-09-02T07:27:00 2025-09-26T20:16:48      4.106    291.976     939.51 
2025-09-30T00:04:12 2025-09-30T00:04:12     36.478    209.135    381.792 
2025-10-01T11:03:00 2025-10-29T03:40:12      8.574    274.189    727.972 
2025-10-30T08:49:12 2025-10-31T19:48:00     38.145     59.438      80.73 
2025-11-01T19:07:12 2025-11-29T23:24:00      9.429    219.152    826.596 
2025-12-02T09:42:00 2025-12-29T08:49:48      0.711    253.743    815.853 
2025-12-30T13:58:48 2025-12-31T23:59:59     34.228    158.462    293.937 
